"","Post","Entity","Position","Type","message"
"108","1075","Joe Petrik","256","Person","Happy Friday Warriors! Spring has sprung on campus.

Now that Spring Term is underway, we know that there are questions about Fall. We’ll continue to update our COVID-19 website as plans are confirmed. 

See the latest updates https://t.co/3I1yisjx9d

?? Joe Petrik @UWCheritonCS https://t.co/ZVGDhMHjqR"
"109","1075","Friday","7","Date","Happy Friday Warriors! Spring has sprung on campus.

Now that Spring Term is underway, we know that there are questions about Fall. We’ll continue to update our COVID-19 website as plans are confirmed. 

See the latest updates https://t.co/3I1yisjx9d

?? Joe Petrik @UWCheritonCS https://t.co/ZVGDhMHjqR"
"110","1075","Spring","24","Location","Happy Friday Warriors! Spring has sprung on campus.

Now that Spring Term is underway, we know that there are questions about Fall. We’ll continue to update our COVID-19 website as plans are confirmed. 

See the latest updates https://t.co/3I1yisjx9d

?? Joe Petrik @UWCheritonCS https://t.co/ZVGDhMHjqR"
"111","1075","Spring Term","63","Location","Happy Friday Warriors! Spring has sprung on campus.

Now that Spring Term is underway, we know that there are questions about Fall. We’ll continue to update our COVID-19 website as plans are confirmed. 

See the latest updates https://t.co/3I1yisjx9d

?? Joe Petrik @UWCheritonCS https://t.co/ZVGDhMHjqR"
"112","1077","yesterday","126","Date","RT @UWaterlooPres : It was a pleasure to take part in the Creating New Cultural Norms panel at the @HeForShe #HeForSheSummit yesterday. @UWaterloo made a commitment to advance gender equity goals among faculty and its senior leadership, and has made considerable progress on both fronts. https://t.co/8nnMIhbELh"
"113","1078","Alexander Wong","171","Person","""Assessing the severity of a patient with #COVID19 is a critical step in the clinical workflow for determining the best course of action for treatment and care ..."" says Alexander Wong, #UWaterloo prof and @darwinai co-founder. https://t.co/tpKqa0m6QQ"
"114","1079","Read","207","Organization","Despite the pandemic, Adina Goldberg, a PhD student in #UWaterloo Pure Math, is building connections and exploring how accessing a quantum state could help people solve problems together more efficiently.

Read her story: https://t.co/loXvjkaHmm @WaterlooMath https://t.co/fN26egtpcq"
"115","1079","Adina Goldberg","23","Person","Despite the pandemic, Adina Goldberg, a PhD student in #UWaterloo Pure Math, is building connections and exploring how accessing a quantum state could help people solve problems together more efficiently.

Read her story: https://t.co/loXvjkaHmm @WaterlooMath https://t.co/fN26egtpcq"
"116","108","Research","58","Organization","RT @UWResearch : Don't forget to register for the Feb 17 Research Talks with special guest, The Right Honorable @MichaelleJeanF, 27th Governor General and Commander in Chief of Canada (2005-2010). Her lecture, honouring #blackhistorymonth2022 is sure to inspire you! https://t.co/Mdnmj3dpeO https://t.co/qUf8eTQBkl"
"117","108","Feb 17","51","Date","RT @UWResearch : Don't forget to register for the Feb 17 Research Talks with special guest, The Right Honorable @MichaelleJeanF, 27th Governor General and Commander in Chief of Canada (2005-2010). Her lecture, honouring #blackhistorymonth2022 is sure to inspire you! https://t.co/Mdnmj3dpeO https://t.co/qUf8eTQBkl"
"118","108","#blackhistorymonth2022","221","Date","RT @UWResearch : Don't forget to register for the Feb 17 Research Talks with special guest, The Right Honorable @MichaelleJeanF, 27th Governor General and Commander in Chief of Canada (2005-2010). Her lecture, honouring #blackhistorymonth2022 is sure to inspire you! https://t.co/Mdnmj3dpeO https://t.co/qUf8eTQBkl"
"119","108","Canada","178","Location","RT @UWResearch : Don't forget to register for the Feb 17 Research Talks with special guest, The Right Honorable @MichaelleJeanF, 27th Governor General and Commander in Chief of Canada (2005-2010). Her lecture, honouring #blackhistorymonth2022 is sure to inspire you! https://t.co/Mdnmj3dpeO https://t.co/qUf8eTQBkl"
"120","1080","today","138","Date","RT @UWaterlooPres : My heartfelt thanks to all of our community members, partners and alumni who joined the #DecadeOfImpact celebrations today, those who submitted messages, and the team who pulled the event together. I am deeply touched and honoured."
"121","1082","School of Architecture","150","Organization","RT @Kathryn_McGarry : Celebrated “A Decade of Impact” for ?@UWaterlooPres? Feridun Hamdullahpur! I had many great chats with him the past few years! School of Architecture campus has benefited #Cbridge we often said. #BestWishes #ThankYou https://t.co/DeWm5aPbod"
"122","1088","today","105","Date","RT @uwaterlooARTS : A fun #TBT in honour of the Decade of Impact event for @uwaterlooalumni and friends today. 

Faculty, staff and students are invited to celebrate on May 31. 

Details; https://t.co/fR70JWDavL https://t.co/KOvFfc7W0b"
"123","1088","May 31","170","Date","RT @uwaterlooARTS : A fun #TBT in honour of the Decade of Impact event for @uwaterlooalumni and friends today. 

Faculty, staff and students are invited to celebrate on May 31. 

Details; https://t.co/fR70JWDavL https://t.co/KOvFfc7W0b"
"124","1089","Today","1","Date","Today, #UWaterlooAlumni, government and industry leaders from around the world are joining us for a virtual event to celebrate President Hamdullahpur.

Share your tribute to @UWaterlooPres using #DecadeOfImpact or submit it here: https://t.co/Ho5WmeONz2 https://t.co/5f4W5TaPOD"
"125","109","International Women’s Day","15","Organization","March 8 marks International Women’s Day, a global observance that celebrates the social, economic, cultural and political achievements of women. Join  #UWaterloo as we celebrates through a virtual #InternationalWomensDay keynote and panel discussion.

??https://t.co/CaHst7JEuQ https://t.co/GLxqOXq8NK"
"126","109","March 8","1","Date","March 8 marks International Women’s Day, a global observance that celebrates the social, economic, cultural and political achievements of women. Join  #UWaterloo as we celebrates through a virtual #InternationalWomensDay keynote and panel discussion.

??https://t.co/CaHst7JEuQ https://t.co/GLxqOXq8NK"
"127","1090","June 2.","51","Date","The @ONgov stay-at-home order is scheduled to end June 2. There will be no changes to campus operations until stage 1 of the 3 stage re-opening plan. 

Please continue to follow safety protocols and only come to campus for approved activities. Learn more: https://t.co/OuGsWQSrwO https://t.co/2WSR5Y775z"
"128","1091","University","65","Organization","RT @QuantumIQC : Feridun Hamdullahpur has been president of the University for more than half of IQC's existence, and has been a tremendous supporter of our mission. Join us as we celebrate Feridun's decade of impact at the University of Waterloo: https://t.co/CPZ5of8GpN #DecadeOfImpact https://t.co/QujcHsx5Gv"
"129","1091","IQC","98","Organization","RT @QuantumIQC : Feridun Hamdullahpur has been president of the University for more than half of IQC's existence, and has been a tremendous supporter of our mission. Join us as we celebrate Feridun's decade of impact at the University of Waterloo: https://t.co/CPZ5of8GpN #DecadeOfImpact https://t.co/QujcHsx5Gv"
"130","1091","Feridun","191","Organization","RT @QuantumIQC : Feridun Hamdullahpur has been president of the University for more than half of IQC's existence, and has been a tremendous supporter of our mission. Join us as we celebrate Feridun's decade of impact at the University of Waterloo: https://t.co/CPZ5of8GpN #DecadeOfImpact https://t.co/QujcHsx5Gv"
"131","1091","University","225","Organization","RT @QuantumIQC : Feridun Hamdullahpur has been president of the University for more than half of IQC's existence, and has been a tremendous supporter of our mission. Join us as we celebrate Feridun's decade of impact at the University of Waterloo: https://t.co/CPZ5of8GpN #DecadeOfImpact https://t.co/QujcHsx5Gv"
"132","1095","past 10 years","9","Date","For the past 10 years, Feridun Hamdullahpur has lead #UWaterloo through a decade of transformation. From campus development to global connections, @UWaterlooPres has overseen significant growth. 

Read his top 10 accomplishments: https://t.co/RipZZSiG5S 

#UWaterlooMagazine https://t.co/NTb3qqn3Fq"
"133","1097","School of Public Health Sciences","92","Organization","RT @UWaterlooSPHS : We are excited to announce that as of June 1, 2021, we will become the School of Public Health Sciences! This transition will appear on our websites and our social media channels throughout the summer. Learn more: https://t.co/KVceTQOA0t @uwaterloohealth https://t.co/eIf3b6zFlv"
"134","1097","June 1, 2021","59","Date","RT @UWaterlooSPHS : We are excited to announce that as of June 1, 2021, we will become the School of Public Health Sciences! This transition will appear on our websites and our social media channels throughout the summer. Learn more: https://t.co/KVceTQOA0t @uwaterloohealth https://t.co/eIf3b6zFlv"
"135","1097","summer","215","Date","RT @UWaterlooSPHS : We are excited to announce that as of June 1, 2021, we will become the School of Public Health Sciences! This transition will appear on our websites and our social media channels throughout the summer. Learn more: https://t.co/KVceTQOA0t @uwaterloohealth https://t.co/eIf3b6zFlv"
"136","1099","Nancy Waite","145","Person","“We’ve seen changing perceptions of the value of vaccines and a documented change in people’s willingness to consider getting vaccinated,” says Nancy Waite, @UWPharmacy professor. https://t.co/ytU6aXcFRN"
"137","11","Read","244","Organization","RT @UWaterlooPres : Today is the International Day for the Elimination of Racial Discrimination. It is an opportunity to reflect on the actions we can take to advance anti-racism, equity and inclusion, not just today, but throughout the year. Read my latest blog post at https://t.co/RV6UbiD3KL"
"138","11","Today","21","Date","RT @UWaterlooPres : Today is the International Day for the Elimination of Racial Discrimination. It is an opportunity to reflect on the actions we can take to advance anti-racism, equity and inclusion, not just today, but throughout the year. Read my latest blog post at https://t.co/RV6UbiD3KL"
"139","11","today","212","Date","RT @UWaterlooPres : Today is the International Day for the Elimination of Racial Discrimination. It is an opportunity to reflect on the actions we can take to advance anti-racism, equity and inclusion, not just today, but throughout the year. Read my latest blog post at https://t.co/RV6UbiD3KL"
"140","110","Yuan Xiao Jie","107","Person","Happy #LanternFestival to our community members and others celebrating the tradition. Lantern Festival or Yuan Xiao Jie, Yuanxiao Festival (???) is celebrated in many Asian countries on the 15th day of the first lunar month, two weeks after the Lunar New Year. https://t.co/OOfVpClaeH"
"141","110","New Year","252","Date","Happy #LanternFestival to our community members and others celebrating the tradition. Lantern Festival or Yuan Xiao Jie, Yuanxiao Festival (???) is celebrated in many Asian countries on the 15th day of the first lunar month, two weeks after the Lunar New Year. https://t.co/OOfVpClaeH"
